frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0183_overlay_go1_uncertainty_clean.ply,43,8.510372,-0.8090626,-1.161237,0.23527518,0.19401202,0.14549062,0.39996782,0.32982042,0.24733405,0.03262770175933838
frame_0185_overlay_go1_uncertainty_clean.ply,86,8.669427,-0.21829079,-1.2713798,3.1990576,1.6359155,0.20769276,5.438398,2.7810564,0.3530777,5.340120792388916
frame_0186_overlay_go1_uncertainty_clean.ply,78,8.054122,-0.377315,-1.2338121,3.7513547,1.7461334,0.30375552,6.377303,2.968427,0.5163844,9.775445938110352
frame_0187_overlay_go1_uncertainty_clean.ply,66,8.531677,-0.14205606,-1.2139087,3.5949168,1.8616917,0.32825243,6.1113586,3.164876,0.5580292,10.793228149414062
frame_0188_overlay_go1_uncertainty_clean.ply,82,8.637111,-0.25515902,-1.2404174,3.2394881,1.516562,0.24526517,5.50713,2.5781555,0.4169508,5.919966697692871
frame_0189_overlay_go1_uncertainty_clean.ply,85,8.6679125,-0.254009,-1.2391526,3.0095222,1.6134584,0.27808666,5.116188,2.7428794,0.47274733,6.634104251861572
frame_0190_overlay_go1_uncertainty_clean.ply,75,8.440129,-0.31138235,-1.2310499,3.2965553,1.6723782,0.3192216,5.604144,2.843043,0.5426767,8.646371841430664
frame_0191_overlay_go1_uncertainty_clean.ply,70,8.701494,-0.34235692,-1.2285622,3.1540573,1.6278828,0.30500403,5.3618975,2.767401,0.5185069,7.693874835968018
frame_0193_overlay_go1_uncertainty_clean.ply,49,8.663878,-0.8757096,-1.114343,0.27018994,0.18965451,0.10933936,0.4593229,0.32241267,0.1858769,0.027526794001460075
frame_0194_overlay_go1_uncertainty_clean.ply,45,8.652243,-0.8351061,-1.129677,0.26093727,0.1804886,0.096873246,0.44359338,0.30683064,0.16468452,0.022414887323975563
frame_0195_overlay_go1_uncertainty_clean.ply,55,8.723189,-0.8541559,-1.120816,0.31131625,0.16535139,0.113899365,0.5292376,0.28109738,0.19362892,0.028805652633309364
frame_0196_overlay_go1_uncertainty_clean.ply,68,8.798408,-0.8710868,-1.1123636,0.3063035,0.16980018,0.12588379,0.52071595,0.28866032,0.21400245,0.03216671571135521
frame_0197_overlay_go1_uncertainty_clean.ply,71,8.8669815,-0.883334,-1.1064962,0.29161265,0.16574223,0.14987957,0.49574152,0.2817618,0.25479528,0.03559006750583649
frame_0198_overlay_go1_uncertainty_clean.ply,74,8.934341,-0.88777316,-1.1066761,0.32467547,0.18133597,0.13737732,0.5519483,0.30827117,0.23354146,0.039737019687891006
frame_0199_overlay_go1_uncertainty_clean.ply,57,9.004609,-0.90187776,-1.0824882,0.30264392,0.15915294,0.13670565,0.51449466,0.27056,0.23239961,0.032350413501262665
frame_0200_overlay_go1_uncertainty_clean.ply,62,9.082603,-0.9194179,-1.0991182,0.2711172,0.18483298,0.16006242,0.46089926,0.31421608,0.2721061,0.03940694034099579
frame_0201_overlay_go1_uncertainty_clean.ply,43,9.163564,-0.9452266,-1.0439954,0.2533288,0.13547643,0.09786855,0.43065897,0.23030993,0.16637653,0.01650206185877323
frame_0202_overlay_go1_uncertainty_clean.ply,53,9.146803,-0.94546795,-1.0610092,0.29364592,0.15582688,0.099810585,0.49919808,0.2649057,0.169678,0.0224382895976305
frame_0203_overlay_go1_uncertainty_clean.ply,51,9.081784,-0.92021036,-1.0772448,0.28847736,0.16435914,0.102335416,0.49041152,0.27941054,0.17397021,0.02383846789598465
